time	V(ausgang)*I(I1)	V(n004)*I(V2)
0.000000000000000e+000	9.238667e+000	1.030013e-013
8.002754779012911e-005	9.158640e+000	1.349493e-001
2.400826433703873e-004	8.998585e+000	3.793371e-001
4.711061548077211e-004	8.767561e+000	6.678589e-001
7.045482980250206e-004	8.534119e+000	8.756460e-001
1.024313173843661e-003	8.214355e+000	1.013404e+000
1.376589890040969e-003	7.862078e+000	9.647324e-001
1.470733163788762e-003	7.767934e+000	9.151841e-001
1.565743085000348e-003	7.672925e+000	8.487992e-001
1.601795428287423e-003	7.636872e+000	8.195496e-001
1.625615785921464e-003	7.613052e+000	7.989606e-001
1.639451405081926e-003	7.599216e+000	7.865502e-001
1.655190406676277e-003	7.583477e+000	7.720342e-001
1.663799079294259e-003	7.574869e+000	7.639154e-001
1.675719521939678e-003	7.562948e+000	7.524632e-001
1.683487730888111e-003	7.555180e+000	7.448693e-001
1.692083782175224e-003	7.546584e+000	7.363430e-001
1.699344207137687e-003	7.539324e+000	7.290393e-001
1.706975385296183e-003	7.531693e+000	7.212570e-001
1.714761516372287e-003	7.523907e+000	7.131995e-001
1.721979510256766e-003	7.516689e+000	7.056121e-001
1.729558934494113e-003	7.509110e+000	6.975027e-001
1.736814912953966e-003	7.501856e+000	6.895699e-001
1.744239294442340e-003	7.494434e+000	6.812230e-001
1.751558398578990e-003	7.487119e+000	6.726696e-001
1.758950998946296e-003	7.479734e+000	6.635340e-001
1.766337667801543e-003	7.472359e+000	6.536231e-001
1.773790893047966e-003	7.464927e+000	6.423441e-001
1.781312260181633e-003	7.457442e+000	6.288446e-001
1.788971077978485e-003	7.449845e+000	6.115535e-001
1.796842683813305e-003	7.442081e+000	5.878321e-001
1.805079630848860e-003	7.434031e+000	5.529933e-001
1.813920111678580e-003	7.425519e+000	4.986686e-001
1.823791120010521e-003	7.416248e+000	4.089651e-001
1.835468015677688e-003	7.405720e+000	2.515486e-001
1.850363192752891e-003	7.393111e+000	-3.639552e-002
1.867095345349235e-003	7.380403e+000	-4.861706e-001
1.895031262206914e-003	7.362431e+000	-1.460431e+000
1.924179690306782e-003	7.347953e+000	-2.677529e+000
1.960320252438863e-003	7.336522e+000	-4.369001e+000
2.004926269870477e-003	7.332287e+000	-6.574026e+000
2.071861712122147e-003	7.343677e+000	-9.949804e+000
2.147950076396343e-003	7.382781e+000	-1.370995e+001
2.281266385646963e-003	7.508045e+000	-1.991807e+001
2.464439145184350e-003	7.775375e+000	-2.736591e+001
2.830784664259012e-003	8.488879e+000	-3.948510e+001
3.129306748070881e-003	9.168281e+000	-4.654708e+001
3.453074862425409e-003	9.948312e+000	-5.065787e+001
3.853074862425365e-003	1.087143e+001	-5.193656e+001
4.253074862425321e-003	1.168606e+001	-4.978264e+001
4.653074862425277e-003	1.234815e+001	-4.485748e+001
4.986421236787275e-003	1.275601e+001	-3.916994e+001
5.294952999461366e-003	1.298611e+001	-3.299470e+001
5.694952999461322e-003	1.308430e+001	-2.438669e+001
6.094952999461278e-003	1.299723e+001	-1.586536e+001
6.317031485358338e-003	1.286583e+001	-1.154684e+001
6.404443037594354e-003	1.279337e+001	-1.010224e+001
6.464822935577042e-003	1.273702e+001	-9.306385e+000
6.514888538785124e-003	1.268834e+001	-8.824015e+000
6.572707436957814e-003	1.263111e+001	-8.450909e+000
6.602614189517242e-003	1.260131e+001	-8.326386e+000
6.621446214397864e-003	1.258250e+001	-8.275203e+000
6.645181639246989e-003	1.255877e+001	-8.226223e+000
6.661942062454296e-003	1.254201e+001	-8.198094e+000
6.681957196625676e-003	1.252200e+001	-8.169714e+000
6.694956795841645e-003	1.250900e+001	-8.153273e+000
6.711497153529478e-003	1.249246e+001	-8.134009e+000
6.721464009004197e-003	1.248249e+001	-8.122937e+000
6.731231800408688e-003	1.247272e+001	-8.112445e+000
6.737671794275757e-003	1.246628e+001	-8.105634e+000
6.742457701621851e-003	1.246150e+001	-8.100635e+000
6.745749283850744e-003	1.245821e+001	-8.097206e+000
6.748033876709303e-003	1.245592e+001	-8.094845e+000
6.749690775791017e-003	1.245426e+001	-8.093128e+000
6.750917676315971e-003	1.245304e+001	-8.091862e+000
6.751939852405298e-003	1.245201e+001	-8.090813e+000
6.753955194840011e-003	1.245000e+001	-8.088736e+000
6.755150315018610e-003	1.244880e+001	-8.087504e+000
6.756540271409706e-003	1.244741e+001	-8.086074e+000
6.758078383187094e-003	1.244588e+001	-8.084494e+000
6.759992449807961e-003	1.244396e+001	-8.082528e+000
6.761915463640911e-003	1.244204e+001	-8.080555e+000
6.763965349023904e-003	1.243999e+001	-8.078451e+000
6.769996811378798e-003	1.243396e+001	-8.072265e+000
6.771873246671611e-003	1.243208e+001	-8.070340e+000
6.773617005566002e-003	1.243034e+001	-8.068550e+000
6.775075452267076e-003	1.242888e+001	-8.067053e+000
