v1	Ic(Q1)
Step Information: I1=50µ  (Run: 1/7)
4.000000000000000e+000	1.367523e-002
4.100000000000000e+000	1.369634e-002
4.199999999999999e+000	1.371746e-002
4.299999999999999e+000	1.373857e-002
4.399999999999999e+000	1.375969e-002
4.499999999999998e+000	1.378080e-002
4.599999999999998e+000	1.380192e-002
4.699999999999998e+000	1.382303e-002
4.799999999999997e+000	1.384415e-002
4.899999999999997e+000	1.386526e-002
4.999999999999996e+000	1.388638e-002
5.099999999999996e+000	1.390749e-002
5.199999999999996e+000	1.392861e-002
5.299999999999995e+000	1.394972e-002
5.399999999999995e+000	1.397084e-002
5.499999999999995e+000	1.399195e-002
5.599999999999994e+000	1.401307e-002
5.699999999999994e+000	1.403418e-002
5.799999999999994e+000	1.405530e-002
5.899999999999993e+000	1.407641e-002
6.000000000000000e+000	1.409753e-002
Step Information: I1=100µ  (Run: 2/7)
4.000000000000000e+000	2.538672e-002
4.100000000000000e+000	2.542595e-002
4.199999999999999e+000	2.546519e-002
4.299999999999999e+000	2.550442e-002
4.399999999999999e+000	2.554366e-002
4.499999999999998e+000	2.558289e-002
4.599999999999998e+000	2.562213e-002
4.699999999999998e+000	2.566137e-002
4.799999999999997e+000	2.570060e-002
4.899999999999997e+000	2.573984e-002
4.999999999999996e+000	2.577907e-002
5.099999999999996e+000	2.581831e-002
5.199999999999996e+000	2.585754e-002
5.299999999999995e+000	2.589678e-002
5.399999999999995e+000	2.593601e-002
5.499999999999995e+000	2.597525e-002
5.599999999999994e+000	2.601449e-002
5.699999999999994e+000	2.605372e-002
5.799999999999994e+000	2.609296e-002
5.899999999999993e+000	2.613219e-002
6.000000000000000e+000	2.617143e-002
Step Information: I1=150µ  (Run: 3/7)
4.000000000000000e+000	3.579142e-002
4.100000000000000e+000	3.584677e-002
4.199999999999999e+000	3.590211e-002
4.299999999999999e+000	3.595746e-002
4.399999999999999e+000	3.601281e-002
4.499999999999998e+000	3.606816e-002
4.599999999999998e+000	3.612350e-002
4.699999999999998e+000	3.617885e-002
4.799999999999997e+000	3.623420e-002
4.899999999999997e+000	3.628954e-002
4.999999999999996e+000	3.634489e-002
5.099999999999996e+000	3.640024e-002
5.199999999999996e+000	3.645559e-002
5.299999999999995e+000	3.651093e-002
5.399999999999995e+000	3.656628e-002
5.499999999999995e+000	3.662163e-002
5.599999999999994e+000	3.667698e-002
5.699999999999994e+000	3.673232e-002
5.799999999999994e+000	3.678767e-002
5.899999999999993e+000	3.684302e-002
6.000000000000000e+000	3.689837e-002
Step Information: I1=200µ  (Run: 4/7)
4.000000000000000e+000	4.524675e-002
4.100000000000000e+000	4.531675e-002
4.199999999999999e+000	4.538675e-002
4.299999999999999e+000	4.545674e-002
4.399999999999999e+000	4.552674e-002
4.499999999999998e+000	4.559674e-002
4.599999999999998e+000	4.566674e-002
4.699999999999998e+000	4.573673e-002
4.799999999999997e+000	4.580673e-002
4.899999999999997e+000	4.587673e-002
4.999999999999996e+000	4.594672e-002
5.099999999999996e+000	4.601672e-002
5.199999999999996e+000	4.608672e-002
5.299999999999995e+000	4.615672e-002
5.399999999999995e+000	4.622671e-002
5.499999999999995e+000	4.629671e-002
5.599999999999994e+000	4.636671e-002
