i1	Ic(Q1)
1.000000000000000e-006	3.029295e-004
1.999000000000000e-006	6.055055e-004
2.998000000000000e-006	9.069924e-004
3.997000000000000e-006	1.207299e-003
4.996000000000000e-006	1.506399e-003
5.995000000000000e-006	1.804290e-003
6.994000000000000e-006	2.100975e-003
7.993000000000000e-006	2.396464e-003
8.992000000000000e-006	2.690765e-003
9.991000000000000e-006	2.983890e-003
1.099000000000000e-005	3.275851e-003
1.198900000000000e-005	3.566660e-003
1.298800000000000e-005	3.856328e-003
1.398700000000000e-005	4.144870e-003
1.498600000000000e-005	4.432296e-003
1.598500000000000e-005	4.718619e-003
1.698400000000000e-005	5.003851e-003
1.798300000000000e-005	5.288005e-003
1.898200000000000e-005	5.571091e-003
1.998100000000000e-005	5.853121e-003
2.098000000000001e-005	6.134108e-003
2.197900000000001e-005	6.414061e-003
2.297800000000001e-005	6.692993e-003
2.397700000000001e-005	6.970914e-003
2.497600000000001e-005	7.247834e-003
2.597500000000002e-005	7.523766e-003
2.697400000000002e-005	7.798717e-003
2.797300000000002e-005	8.072700e-003
2.897200000000002e-005	8.345725e-003
2.997100000000002e-005	8.617800e-003
3.097000000000002e-005	8.888936e-003
3.196900000000003e-005	9.159141e-003
3.296800000000003e-005	9.428428e-003
3.396700000000003e-005	9.696802e-003
3.496600000000003e-005	9.964274e-003
3.596500000000003e-005	1.023085e-002
3.696400000000003e-005	1.049655e-002
3.796300000000004e-005	1.076137e-002
3.896200000000004e-005	1.102532e-002
3.996100000000004e-005	1.128842e-002
4.096000000000004e-005	1.155066e-002
4.195900000000004e-005	1.181206e-002
4.295800000000005e-005	1.207263e-002
4.395700000000005e-005	1.233237e-002
4.495600000000005e-005	1.259129e-002
4.595500000000005e-005	1.284941e-002
4.695400000000005e-005	1.310671e-002
4.795300000000005e-005	1.336323e-002
4.895200000000006e-005	1.361895e-002
4.995100000000006e-005	1.387389e-002
5.095000000000006e-005	1.412806e-002
5.194900000000006e-005	1.438146e-002
5.294800000000006e-005	1.463410e-002
5.394700000000007e-005	1.488599e-002
5.494600000000007e-005	1.513712e-002
5.594500000000007e-005	1.538752e-002
5.694400000000007e-005	1.563719e-002
5.794300000000007e-005	1.588612e-002
5.894200000000007e-005	1.613434e-002
5.994100000000008e-005	1.638184e-002
6.094000000000008e-005	1.662862e-002
6.193900000000007e-005	1.687471e-002
6.293800000000007e-005	1.712010e-002
6.393700000000006e-005	1.736480e-002
6.493600000000006e-005	1.760881e-002
6.593500000000005e-005	1.785214e-002
6.693400000000005e-005	1.809480e-002
6.793300000000004e-005	1.833679e-002
6.893200000000004e-005	1.857812e-002
6.993100000000003e-005	1.881879e-002
7.093000000000003e-005	1.905880e-002
7.192900000000002e-005	1.929817e-002
7.292800000000002e-005	1.953690e-002
7.392700000000001e-005	1.977499e-002
7.492600000000001e-005	2.001245e-002
7.592500000000000e-005	2.024928e-002
7.692400000000000e-005	2.048548e-002
7.792299999999999e-005	2.072108e-002
7.892199999999999e-005	2.095605e-002
7.992099999999998e-005	2.119043e-002
8.091999999999998e-005	2.142419e-002
8.191899999999997e-005	2.165736e-002
8.291799999999997e-005	2.188994e-002
8.391699999999996e-005	2.212192e-002
8.491599999999996e-005	2.235333e-002
8.591499999999995e-005	2.258415e-002
8.691399999999995e-005	2.281439e-002
8.791299999999994e-005	2.304406e-002
8.891199999999994e-005	2.327317e-002
8.991099999999993e-005	2.350171e-002
9.090999999999993e-005	2.372969e-002
9.190899999999992e-005	2.395711e-002
9.290799999999992e-005	2.418399e-002
9.390699999999991e-005	2.441031e-002
9.490599999999991e-005	2.463610e-002
9.590499999999990e-005	2.486134e-002
9.690399999999990e-005	2.508605e-002
9.790299999999989e-005	2.531022e-002
9.890199999999989e-005	2.553387e-002
9.990099999999988e-005	2.575699e-002
1.008999999999999e-004	2.597959e-002
1.018989999999999e-004	2.620167e-002
1.028979999999999e-004	2.642324e-002
1.038969999999999e-004	2.664430e-002
1.048959999999999e-004	2.686486e-002
1.058949999999999e-004	2.708491e-002
1.068939999999999e-004	2.730446e-002
1.078929999999998e-004	2.752351e-002
1.088919999999998e-004	2.774207e-002
1.098909999999998e-004	2.796014e-002
1.108899999999998e-004	2.817772e-002
1.118889999999998e-004	2.839482e-002
1.128879999999998e-004	2.861144e-002
1.138869999999998e-004	2.882758e-002
1.148859999999998e-004	2.904325e-002
1.158849999999998e-004	2.925845e-002
1.168839999999998e-004	2.947318e-002
1.178829999999998e-004	2.968744e-002
1.188819999999998e-004	2.990124e-002
1.198809999999998e-004	3.011459e-002
1.208799999999998e-004	3.032747e-002
1.218789999999998e-004	3.053991e-002
1.228779999999998e-004	3.075189e-002
1.238769999999998e-004	3.096343e-002
1.248759999999998e-004	3.117452e-002
1.258749999999998e-004	3.138517e-002
1.268739999999998e-004	3.159538e-002
1.278729999999998e-004	3.180516e-002
1.288719999999998e-004	3.201450e-002
1.298709999999998e-004	3.222341e-002
1.308699999999998e-004	3.243189e-002
1.318689999999998e-004	3.263995e-002
1.328679999999999e-004	3.284758e-002
1.338669999999999e-004	3.305479e-002
1.348659999999999e-004	3.326159e-002
1.358649999999999e-004	3.346797e-002
1.368639999999999e-004	3.367393e-002
1.378629999999999e-004	3.387948e-002
1.388619999999999e-004	3.408463e-002
1.398609999999999e-004	3.428937e-002
1.408599999999999e-004	3.449371e-002
1.418589999999999e-004	3.469765e-002
1.428579999999999e-004	3.490118e-002
1.438570000000000e-004	3.510433e-002
1.448560000000000e-004	3.530707e-002
1.458550000000000e-004	3.550943e-002
1.468540000000000e-004	3.571139e-002
1.478530000000000e-004	3.591297e-002
1.488520000000000e-004	3.611416e-002
1.498510000000000e-004	3.631498e-002
1.508500000000000e-004	3.651540e-002
1.518490000000000e-004	3.671545e-002
1.528480000000000e-004	3.691513e-002
1.538470000000000e-004	3.711443e-002
1.548460000000000e-004	3.731335e-002
1.558450000000001e-004	3.751191e-002
1.568440000000001e-004	3.771010e-002
1.578430000000001e-004	3.790792e-002
1.588420000000001e-004	3.810538e-002
1.598410000000001e-004	3.830247e-002
1.608400000000001e-004	3.849921e-002
1.618390000000001e-004	3.869558e-002
1.628380000000001e-004	3.889161e-002
1.638370000000001e-004	3.908727e-002
1.648360000000001e-004	3.928259e-002
1.658350000000001e-004	3.947755e-002
1.668340000000001e-004	3.967216e-002
1.678330000000002e-004	3.986643e-002
1.688320000000002e-004	4.006035e-002
1.698310000000002e-004	4.025393e-002
1.708300000000002e-004	4.044717e-002
1.718290000000002e-004	4.064007e-002
1.728280000000002e-004	4.083263e-002
1.738270000000002e-004	4.102485e-002
1.748260000000002e-004	4.121674e-002
1.758250000000002e-004	4.140830e-002
1.768240000000002e-004	4.159952e-002
1.778230000000002e-004	4.179042e-002
1.788220000000003e-004	4.198099e-002
1.798210000000003e-004	4.217123e-002
1.808200000000003e-004	4.236115e-002
1.818190000000003e-004	4.255075e-002
1.828180000000003e-004	4.274002e-002
1.838170000000003e-004	4.292898e-002
1.848160000000003e-004	4.311761e-002
1.858150000000003e-004	4.330594e-002
1.868140000000003e-004	4.349394e-002
1.878130000000003e-004	4.368164e-002
1.888120000000003e-004	4.386902e-002
1.898110000000003e-004	4.405609e-002
1.908100000000004e-004	4.424286e-002
1.918090000000004e-004	4.442931e-002
1.928080000000004e-004	4.461546e-002
1.938070000000004e-004	4.480131e-002
1.948060000000004e-004	4.498686e-002
1.958050000000004e-004	4.517210e-002
1.968040000000004e-004	4.535704e-002
1.978030000000004e-004	4.554169e-002
1.988020000000004e-004	4.572604e-002
1.998010000000004e-004	4.591010e-002
2.008000000000004e-004	4.609386e-002
2.017990000000004e-004	4.627733e-002
2.027980000000005e-004	4.646050e-002
2.037970000000005e-004	4.664339e-002
2.047960000000005e-004	4.682599e-002
2.057950000000005e-004	4.700830e-002
2.067940000000005e-004	4.719033e-002
2.077930000000005e-004	4.737207e-002
2.087920000000005e-004	4.755352e-002
2.097910000000005e-004	4.773470e-002
2.107900000000005e-004	4.791560e-002
